Date,Price,Open,High,Low,Vol.,Change %,SMA-20,BB-upper,BB-lower,Gain / Loss,Average Gain,Average loss,RS,RSI
9-Apr-18,2619.00,2607.50,2653.75,2607.50,1.76M,0.51%,"2,672.93",2805.430345,2540.427655,13.25,10.004,-18.254,0.548044264,35.40236393
6-Apr-18,2605.75,2663.00,2664.00,2584.50,2.62M,-2.10%,"2,681.18",2819.941243,2542.416757,-56,11.579,-18.254,0.634326723,38.81272416
5-Apr-18,2661.75,2645.75,2672.25,2644.00,1.64M,0.56%,"2,687.85",2824.160663,2551.547337,14.75,12.379,-15.454,0.801022389,44.47598175
4-Apr-18,2647.00,2612.00,2649.75,2559.50,2.25M,1.29%,"2,690.93",2827.530611,2554.327389,33.75,11.6415,-15.4915,0.751476616,42.90531825
3-Apr-18,2613.25,2581.25,2618.75,2573.50,2.22M,1.49%,"2,694.78",2830.505105,2559.052895,38.25,10.229,-15.4915,0.660297583,39.7698334
2-Apr-18,2575.00,2635.00,2641.50,2552.00,2.40M,-2.57%,"2,700.04",2830.517805,2569.565195,-68,9.729,-15.4915,0.628021818,38.57576178
29-Mar-18,2643.00,2609.75,2659.50,2601.00,2.04M,1.36%,"2,705.80",2822.477799,2589.130201,35.5,10.329,-12.0915,0.854236447,46.06944537
28-Mar-18,2607.50,2612.75,2633.75,2593.00,2.80M,-0.32%,"2,707.57",2821.272895,2593.860105,-8.25,8.554,-13.904,0.615218642,38.08887701
27-Mar-18,2615.75,2659.50,2679.75,2596.00,2.45M,-1.65%,"2,712.92",2816.40894,2609.42406,-43.75,8.554,-15.1415,0.564937424,36.09968137
26-Mar-18,2659.50,2595.00,2662.75,2591.00,2.30M,2.38%,"2,719.50",2813.270273,2625.737727,61.75,8.554,-14.804,0.577816806,36.62128607
23-Mar-18,2597.75,2645.75,2658.75,2586.00,2.88M,-1.72%,"2,725.75",2819.343576,2632.164424,-45.5,7.254,-14.804,0.490002702,32.88602775
22-Mar-18,2643.25,2718.25,2726.25,2641.75,2.55M,-2.76%,"2,733.30",2805.282115,2661.325885,-75,9.1165,-12.529,0.727631894,42.11729921
21-Mar-18,2718.25,2723.25,2744.00,2712.50,1.42M,-0.19%,"2,736.72",2796.084791,2677.348209,-5.25,9.754,-8.779,1.111060485,52.63044299
